metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
cpd15723_c0,Dianteisoheptadecanoylphosphatidylglycerol_c0,-0.0106480421341882,C40H78O10P,750.015081,0.007986192183764576,0.425921685367528
cpd00015_c0,FAD_c0,-0.00309646685192537,C27H31N9O15P2,783.5338620000001,0.0024261866310440676,0.083604605001985
cpd15352_c0,2-Demethylmenaquinone 8_c0,-0.00309646685192537,C50H70O2,703.0895999999999,0.0021770936403334674,0.1548233425962685
cpd00322_c0,L-Isoleucine_c0,-0.241798510337235,C6H13NO2,131.17291999999998,0.0317174166525853,1.4507910620234101
cpd00033_c0,Glycine_c0,-0.509869786991038,C2H5NO2,75.0666,0.038274191352141454,1.019739573982076
cpd15695_c0,Diisoheptadecanoylphosphatidylethanolamine_c0,-0.0106480421341882,C39H78NO8P,720.0122809999999,0.007666721105220953,0.4152736432333398
cpd00006_c0,NADP_c0,-0.00309646685192537,C21H26N7O17P3,741.389123,0.002295686843747521,0.06502580389043278
cpd00035_c0,L-Alanine_c0,-0.427934380173264,C3H7NO2,89.09318,0.038126034760965044,1.283803140519792
cpd00084_c0,L-Cysteine_c0,-0.0761464922056484,C3H7NO2S,121.15818,0.009225770409020546,0.2284394766169452
cpd15722_c0,Diisoheptadecanoylphosphatidylglycerol_c0,-0.0106480421341882,C40H78O10P,750.015081,0.007986192183764576,0.425921685367528
cpd00034_c0,Zn2+_c0,-0.00309646685192537,Zn,65.409,0.00020253680031758655,0.0
cpd15432_c0,core oligosaccharide lipid A_c0,-0.0250105977108944,C176H307N2O100P4,4175.169224,0.10442347783637115,4.401865197117415
cpd00001_c0,H2O_c0,-35.5403092430435,H2O,18.01528,0.6402686223000168,0.0
cpd00060_c0,L-Methionine_c0,-0.127801422590767,C5H11NO2S,149.21134,0.019069421518674613,0.6390071129538349
cpd00066_c0,L-Phenylalanine_c0,-0.154519490031345,C9H11NO2,165.18913999999998,0.02552494167151645,1.3906754102821048
cpd00241_c0,dGTP_c0,-0.0213435009581568,C10H13N5O13P3,504.157203,0.01076047974529215,0.21343500958156797
cpd00069_c0,L-Tyrosine_c0,-0.120676604606612,C9H11NO3,181.18854,0.0218652178008293,1.086089441459508
