metabolite,coefficient,formula,formula_weight,weight_contribution
cpd15723_c0,-0.0106480421341882,C40H78O10P,750.015081,7.986192183764576
cpd00015_c0,-0.00309646685192537,C27H31N9O15P2,783.5338620000001,2.4261866310440676
cpd15352_c0,-0.00309646685192537,C50H70O2,703.0895999999999,2.1770936403334673
cpd00322_c0,-0.241798510337235,C6H13NO2,131.17291999999998,31.717416652585296
cpd00033_c0,-0.509869786991038,C2H5NO2,75.0666,38.27419135214145
cpd15695_c0,-0.0106480421341882,C39H78NO8P,720.0122809999999,7.666721105220954
cpd00006_c0,-0.00309646685192537,C21H26N7O17P3,741.389123,2.295686843747521
cpd00035_c0,-0.427934380173264,C3H7NO2,89.09318,38.12603476096504
cpd00084_c0,-0.0761464922056484,C3H7NO2S,121.15818,9.225770409020546
cpd15722_c0,-0.0106480421341882,C40H78O10P,750.015081,7.986192183764576
cpd00034_c0,-0.00309646685192537,Zn,65.409,0.20253680031758656
cpd15432_c0,-0.0250105977108944,C176H307N2O100P4,4175.169224,104.42347783637116
cpd00001_c0,-35.5403092430435,H2O,18.01528,640.2686223000168
cpd00060_c0,-0.127801422590767,C5H11NO2S,149.21134,19.069421518674616
cpd00066_c0,-0.154519490031345,C9H11NO2,165.18913999999998,25.524941671516448
cpd00241_c0,-0.0213435009581568,C10H13N5O13P3,504.157203,10.760479745292152
cpd00069_c0,-0.120676604606612,C9H11NO3,181.18854,21.865217800829303
cpd00010_c0,-0.00309646685192537,C21H33N7O16P3S,764.510303,2.367280811194921
cpd15696_c0,-0.0106480421341882,C39H78NO8P,720.0122809999999,7.666721105220954
cpd00557_c0,-0.00309646685192537,C42H36FeN4O16,908.59744,2.81344185470425
cpd00038_c0,-0.135406821203723,C10H13N5O14P3,520.156603,70.43275214035692
cpd00099_c0,-0.00309646685192537,Cl,35.453,0.10977903930131015
cpd00345_c0,-0.00309646685192537,C20H23N7O6,457.43992,1.4164475490273931
cpd00129_c0,-0.184354665339991,C5H8NO2,114.12252,21.03901898235643
cpd00062_c0,-0.0908319049068452,C9H12N2O15P3,481.117263,43.700797481857634
cpd00087_c0,-0.00309646685192537,C19H21N7O6,443.41334,1.3730147090115137
cpd00058_c0,-0.00309646685192537,Cu,63.546,0.19676808257244957
cpd00156_c0,-0.352233189091625,C5H11NO2,117.14634,41.26282892861179
cpd15793_c0,-0.0106480421341882,C81H156O17P2,1464.042662,15.589187951225055
