metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution,carbon_content
3pg_c,3-Phospho-D-glycerate,-1.496,C3H4O7P,183.033421,0.273817997816,4.4879999999999995
accoa_c,Acetyl-CoA,-3.7478,C23H34N7O17P3S,805.539043,3.0189992253553997,86.1994
atp_c,ATP,-59.81,C10H12N5O13P3,503.149263,30.093357420030006,598.1
e4p_c,D-Erythrose 4-phosphate,-0.361,C4H7O7P,198.067941,0.07150252670099999,1.444
f6p_c,D-Fructose 6-phosphate,-0.0709,C6H11O9P,258.119901,0.018300700980900003,0.4254
g3p_c,Glyceraldehyde 3-phosphate,-0.129,C3H5O6P,168.041961,0.021677412969,0.387
g6p_c,D-Glucose 6-phosphate,-0.205,C6H11O9P,258.119901,0.052914579705000006,1.23
gln__L_c,L-Glutamine,-0.2557,C5H10N2O3,146.1445,0.037369148649999996,1.2785
glu__L_c,L-Glutamate,-4.9414,C5H8NO4,146.12132,0.722043890648,24.707
h2o_c,H2O,-59.81,H2O,18.01528,1.0774938968,0.0
nad_c,Nicotinamide adenine dinucleotide,-3.547,C21H26N7O14P2,662.4171620000001,2.3495936736140006,74.48700000000001
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,-13.0279,C21H26N7O17P3,741.389123,9.658743355531701,273.58590000000004
oaa_c,Oxaloacetate,-1.7867,C4H2O5,130.05568,0.232370483456,7.1468
pep_c,Phosphoenolpyruvate,-0.5191,C3H2O6P,165.01814099999999,0.0856609169931,1.5573000000000001
pyr_c,Pyruvate,-2.8328,C3H3O3,87.05412,0.246606911136,8.4984
r5p_c,alpha-D-Ribose 5-phosphate,-0.8977,C5H9O8P,228.093921,0.2047599128817,4.4885
adp_c,ADP,59.81,C10H12N5O10P2,424.177302,-25.37004443262,-598.1
akg_c,2-Oxoglutarate,4.1182,C5H4O5,144.08226000000002,-0.593359563132,-20.591
coa_c,Coenzyme A,3.7478,C21H32N7O16P3S,763.5023630000001,-2.8614541560514,-78.7038
h_c,H+,59.81,H,1.00794,-0.06028489140000001,0.0
nadh_c,Nicotinamide adenine dinucleotide - reduced,3.547,C21H27N7O14P2,663.425102,-2.3531688367940005,-74.48700000000001
nadp_c,Nicotinamide adenine dinucleotide phosphate,13.0279,C21H25N7O17P3,740.3811830000001,-9.645612014005701,-273.58590000000004
pi_c,Phosphate,59.81,HO4P,95.97930099999999,-5.74052199281,0.0
Total,,50.43289999999999,,,1.5407661664547208,42.55549999999954
