metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
cpd00115_c0,dATP [c0],-0.006285775375312562,C10H13N5O12P3,488.157803,0.0030684502973640808,0.06285775375312562
cpd00241_c0,dGTP [c0],-0.006285775375312562,C10H13N5O13P3,504.157203,0.0031690189319038566,0.06285775375312562
cpd00356_c0,dCTP [c0],-0.006285775375312562,C9H13N3O13P3,464.133103,0.002917436429704809,0.056571978377813054
cpd00357_c0,TTP [c0],-0.006285775375312562,C10H14N2O14P3,479.144443,0.0030117943410272537,0.06285775375312562
cpd00012_c0,PPi [c0],0.40783799198366755,HO7P2,174.951262,-0.07135177138908853,0.0
cpd00023_c0,L-Glutamate [c0],-0.2114570947417077,C5H8NO4,146.12132,0.030898389807023387,1.0572854737085384
cpd00001_c0,H2O [c0],-55.065243523239275,H2O,18.01528,0.9920157803393421,0.0
cpd00002_c0,ATP [c0],-59.46986487689969,C10H13N5O13P3,504.157203,29.98216073912569,594.6986487689969
cpd00033_c0,Glycine [c0],-0.49211051520173843,C2H5NO2,75.0666,0.03694106320044282,0.9842210304034769
cpd00035_c0,L-Alanine [c0],-0.413029000095084,C3H7NO2,89.09318,0.03679806705069134,1.2390870002852519
cpd00039_c0,L-Lysine [c0],-0.27549593034437936,C6H15N2O2,147.1955,0.040551761215006095,1.6529755820662762
cpd00041_c0,L-Aspartate [c0],-0.19383567017989892,C4H6NO4,132.09474,0.025604672455139497,0.7753426807195957
cpd00051_c0,L-Arginine [c0],-0.23810412700590652,C6H15N4O2,175.2089,0.041717962178165174,1.428624762035439
cpd00053_c0,L-Glutamine [c0],-0.2114570947417077,C5H10N2O3,146.1445,0.0309032913824795,1.0572854737085384
cpd00054_c0,L-Serine [c0],-0.1732057097172929,C3H7NO3,105.09258,0.018202634904921383,0.5196171291518787
cpd00060_c0,L-Methionine [c0],-0.12334997193266264,C5H11NO2S,149.21134,0.018405214601034982,0.6167498596633132
cpd00065_c0,L-Tryptophan [c0],-0.04555782935492076,C11H12N2O2,204.22518,0.009304055900417977,0.5011361229041283
cpd00066_c0,L-Phenylalanine [c0],-0.14913742251092005,C9H11NO2,165.18913999999998,0.024635882566395522,1.3422368025982805
cpd00069_c0,L-Tyrosine [c0],-0.11647331844512784,C9H11NO3,181.18854,0.021103630518027782,1.0482598660061506
cpd00084_c0,L-Cysteine [c0],-0.0734942341480324,C3H7NO2S,121.15818,0.008904427649869456,0.22048270244409718
cpd00107_c0,L-Leucine [c0],-0.36231368062451175,C6H13NO2,131.17291999999998,0.04752574344346462,2.1738820837470705
cpd00119_c0,L-Histidine [c0],-0.07650277004882908,C6H9N3O2,155.15456,0.011869753625707254,0.45901662029297446
