metabolite,name,coefficient,formula,formula_weight,weight_contribution,carbon_content
10fthf_c,10-Formyltetrahydrofolate,-0.000223,C20H21N7O7,471.42344,0.10512742712,0.00446
2dmmql8_c,2-Demethylmenaquinol 8,-0.000223,C50H72O2,705.10548,0.15723852204,0.01115
2fe2s_c,[2Fe-2S] iron-sulfur cluster,-2.5e-05,S2Fe2,175.82,0.0043955,0.0
4fe4s_c,[4Fe-4S] iron-sulfur cluster,-0.000248,S4Fe4,351.64,0.08720672,0.0
5mthf_c,5-Methyltetrahydrofolate,-0.000223,C20H24N7O6,458.44786,0.10223387278,0.00446
accoa_c,Acetyl-CoA,-0.000279,C23H34N7O17P3S,805.539043,0.224745392997,0.006417
adocbl_c,Adenosylcobalamin,-0.000223,C72H100CoN18O17P,1579.581761,0.352246732703,0.016056
adp_c,ADP C10H12N5O10P2,53.95,C10H12N5O10P2,424.177302,-22884.3654429,-539.5
ala__L_c,L-Alanine,-0.499149,C3H7NO2,89.09318,44.470771703820006,1.497447
amet_c,S-Adenosyl-L-methionine,-0.000223,C15H23N6O5S,399.44532000000004,0.08907630636000001,0.003345
arg__L_c,L-Arginine,-0.28742,C6H15N4O2,175.2089,50.358542038,1.72452
asn__L_c,L-Asparagine,-0.234232,C4H8N2O3,132.11792,30.94624463744,0.936928
asp__L_c,L-Aspartate,-0.234232,C4H6NO4,132.09474,30.94081513968,0.936928
atp_c,ATP C10H12N5O13P3,-54.119975,C10H12N5O13P3,503.149263,27230.425534828424,541.19975
bmocogdp_c,Bis-molybdopterin guanine dinucleotide,-0.000116,C40H44N20O27P4S4Mo,1584.9902040000002,0.18385886366400003,0.00464
btn_c,Biotin,-2e-06,C10H15N2O3S,243.3027,0.00048660539999999995,1.9999999999999998e-05
ca2_c,Calcium,-0.004952,Ca,40.078,0.198466256,0.0
chor_c,Chorismate,-0.000223,C10H8O6,224.16692,0.04998922316,0.00223
cl_c,Chloride,-0.004952,Cl,35.453,0.175563256,0.0
clpn160_p,"Cardiolipin (tetrahexadecanoyl, n-C16:0)",-0.002944,C73H140O17P2,1351.830022,3.979787584768,0.214912
clpn161_p,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)",-0.00229,C73H132O17P2,1343.766502,3.07722528958,0.16716999999999999
clpn181_p,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)",-0.00118,C81H148O17P2,1455.9791420000001,1.7180553875600002,0.09558
coa_c,Coenzyme A,-0.000168,C21H32N7O16P3S,763.5023630000001,0.128268396984,0.003528
cobalt2_c,Co2+,-2.4e-05,Co,58.9332,0.0014143968000000001,0.0
colipa_e,Core oligosaccharide lipid A,-0.008151,C176H303N2O100P4,4171.137464,33.99894146906401,1.434576
ctp_c,CTP C9H12N3O14P3,-0.129799,C9H12N3O14P3,479.124563,62.189889152837004,1.168191
cu2_c,Copper,-0.000674,Cu,63.546,0.042830004,0.0
cys__L_c,L-Cysteine,-0.088988,C3H7NO2S,121.15818,10.78162412184,0.266964
datp_c,DATP C10H12N5O12P3,-0.024805,C10H12N5O12P3,487.149863,12.083752351715,0.24805
dctp_c,DCTP C9H12N3O13P3,-0.025612,C9H12N3O13P3,463.12516300000004,11.861561674756,0.230508
dgtp_c,DGTP C10H12N5O13P3,-0.025612,C10H12N5O13P3,503.149263,12.886658923956,0.25612
dttp_c,DTTP C10H13N2O14P3,-0.024805,C10H13N2O14P3,478.136503,11.860175956915,0.24805
enter_c,Enterochelin,-0.000223,C30H27N3O15,669.54648,0.14930886504,0.00669
fad_c,Flavin adenine dinucleotide oxidized,-0.000223,C27H31N9O15P2,783.5338620000001,0.17472805122600002,0.006021
fe2_c,Fe2+ mitochondria,-0.006388,Fe,55.845,0.35673785999999996,0.0
fe3_c,Iron (Fe3+),-0.007428,Fe,55.845,0.41481665999999995,0.0
gln__L_c,L-Glutamine,-0.255712,C5H10N2O3,146.1445,37.370902384,1.27856
glu__L_c,L-Glutamate,-0.255712,C5H8NO4,146.12132,37.36497497984,1.27856
gly_c,Glycine,-0.595297,C2H5NO2,75.0666,44.686921780199995,1.190594
glycogen_c,Glycogen C6H10O5,-0.154187,C6H10O5,162.1406,24.9999726922,0.925122
gthrd_c,Reduced glutathione,-0.000223,C10H16N3O6S,306.31554,0.06830836542,0.00223
gtp_c,GTP C10H12N5O14P3,-0.209121,C10H12N5O14P3,519.148663,108.56488755522301,2.0912100000000002
h2o_c,H2O H2O,-48.752916,H2O,18.01528,878.29743255648,0.0
h_c,H+,53.95,H,1.00794,-54.37836300000001,0.0
hemeO_c,Heme O C49H56FeN4O5,-0.000223,C49H56FeN4O5,836.83774,0.18661481602000002,0.010927
his__L_c,L-Histidine,-0.092056,C6H9N3O2,155.15456,14.28290817536,0.5523359999999999
ile__L_c,L-Isoleucine,-0.282306,C6H13NO2,131.17291999999998,37.03090235351999,1.6938360000000001
k_c,Potassium,-0.18569,K,39.0983,7.260163327,0.0
leu__L_c,L-Leucine,-0.437778,C6H13NO2,131.17291999999998,57.42461857175999,2.626668
lipopb_c,Lipoate (protein bound),-3e-06,C8H13OS2,189.31822,0.00056795466,2.4e-05
lys__L_c,L-Lysine,-0.333448,C6H15N2O2,147.1955,49.08204508400001,2.0006880000000002
malcoa_c,Malonyl CoA C24H33N7O19P3S,-3.1e-05,C24H33N7O19P3S,848.5406029999999,0.026304758693,0.0007440000000000001
met__L_c,L-Methionine,-0.149336,C5H11NO2S,149.21134,22.28262467024,0.74668
mg2_c,Magnesium,-0.008253,Mg,24.305,0.20058916499999999,0.0
mlthf_c,"5,10-Methylenetetrahydrofolate",-0.000223,C20H21N7O6,455.42404,0.10155956092,0.00446
mn2_c,Manganese,-0.000658,Mn,54.938049,0.036149236242,0.0
mobd_c,Molybdate,-7e-06,MoO4,159.9376,0.0011195632,0.0
mococdp_c,Molybdopterin cytosine dinucleotide,-7e-06,C19H22N8O15P2S2Mo,824.440102,0.005771080714,0.000133
mocogdp_c,Molybdopterin guanine dinucleotide,-7e-06,C20H22N10O15P2S2Mo,864.4642020000001,0.006051249414000001,0.00014
mql8_c,Menaquinol 8,-0.000223,C51H74O2,719.13206,0.16036644938,0.011373
murein3p3p_p,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)",-0.001345,C68H104N12O38,1697.61096,2.2832867412,0.09146
murein3px4p_p,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",-0.000605,C71H107N13O38,1750.67358,1.0591575159,0.042955
murein4p4p_p,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)",-0.005381,C74H114N14O40,1839.76676,9.899784935560001,0.39819400000000005
murein4px4p_p,"Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)",-0.005448,C74H112N14O39,1821.75148,9.92490206304,0.40315199999999995
murein4px4px4p_p,Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain),-0.000673,C111H167N21O58,2723.61958,1.83299597734,0.07470299999999999
nad_c,Nicotinamide adenine dinucleotide,-0.001787,C21H26N7O14P2,662.4171620000001,1.1837394684940001,0.037527
nadh_c,Nicotinamide adenine dinucleotide - reduced,-4.5e-05,C21H27N7O14P2,663.425102,0.029854129590000004,0.0009450000000000001
nadp_c,Nicotinamide adenine dinucleotide phosphate,-0.000112,C21H25N7O17P3,740.3811830000001,0.08292269249600001,0.002352
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,-0.000335,C21H26N7O17P3,741.389123,0.24836535620500003,0.0070350000000000005
nh4_c,Ammonium,-0.012379,H4N,18.03846,0.22329809634,0.0
ni2_c,Nickel,-0.000307,Ni,58.6934,0.018018873799999998,0.0
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",-0.012366,C37H74N1O8P1,691.959121,8.556766490286,0.457542
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",-0.031798,C37H74N1O8P1,691.959121,22.002916129558,1.176526
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",-0.009618,C37H70N1O8P1,687.9273609999999,6.616485358097999,0.355866
pe161_p,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",-0.024732,C37H70N1O8P1,687.9273609999999,17.013819492251997,0.915084
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",-0.004957,C41H78N1O8P1,744.0336809999999,3.688174956716999,0.20323699999999997
pe181_p,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",-0.012747,C41H78N1O8P1,744.0336809999999,9.484197331706998,0.522627
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",-0.005707,C38H74O10P1,721.9619210000001,4.1202366831470005,0.216866
pg160_p,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",-0.004892,C38H74O10P1,721.9619210000001,3.531837717532,0.18589599999999998
pg161_c,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",-0.004439,C38H70O10P1,717.930161,3.1868919846790003,0.168682
pg161_p,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",-0.003805,C38H70O10P1,717.930161,2.731724262605,0.14459
pg181_c,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",-0.002288,C42H78O10P1,774.036481,1.770995468528,0.096096
pg181_p,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",-0.001961,C42H78O10P1,774.036481,1.517885539241,0.082362
phe__L_c,L-Phenylalanine,-0.180021,C9H11NO2,165.18913999999998,29.737514171939996,1.6201889999999999
pheme_c,Protoheme C34H30FeN4O4,-0.000223,C34H30FeN4O4,614.4714,0.1370271222,0.007582
pi_c,Phosphate,53.945874,HO4P,95.97930099999999,-5177.687278354074,0.0
ppi_c,Diphosphate,0.749831,HO7P2,174.951262,-131.18387973672202,0.0
pro__L_c,L-Proline,-0.214798,C5H9NO2,115.13046,24.72979254708,1.07399
ptrc_c,Putrescine,-0.03327,C4H14N2,90.16736,2.9998680672,0.13308
pydx5p_c,Pyridoxal 5'-phosphate,-0.000223,C8H8NO6P,245.125981,0.054663093763,0.001784
q8h2_c,Ubiquinol-8,-0.000223,C49H76O4,729.12534,0.16259495082,0.010927
ribflv_c,Riboflavin C17H20N4O6,-0.000223,C17H20N4O6,376.36389999999994,0.08392914969999998,0.003791
ser__L_c,L-Serine,-0.209684,C3H7NO3,105.09258,22.03623254472,0.6290520000000001
sheme_c,Siroheme C42H36FeN4O16,-0.000223,C42H36FeN4O16,908.59744,0.20261722912,0.009366
so4_c,Sulfate,-0.004126,O4S,96.0626,0.3963542876,0.0
spmd_c,Spermidine,-0.006744,C7H22N3,148.26968,0.99993072192,0.047208
succoa_c,Succinyl-CoA,-9.8e-05,C25H35N7O19P3S,862.5671829999999,0.08453158393399998,0.00245
thf_c,"5,6,7,8-Tetrahydrofolate",-0.000223,C19H21N7O6,443.41334,0.09888117482,0.004237
thmpp_c,Thiamine diphosphate,-0.000223,C12H16N4O7P2S,422.290562,0.094170795326,0.002676
thr__L_c,L-Threonine,-0.246506,C4H9NO3,119.11916,29.36358765496,0.986024
trp__L_c,L-Tryptophan,-0.055234,C11H12N2O2,204.22518,11.280173592119999,0.607574
tyr__L_c,L-Tyrosine,-0.133993,C9H11NO3,181.18854,24.27799604022,1.205937
udcpdp_c,Undecaprenyl diphosphate,-5.5e-05,C55H89O7P2,924.238482,0.05083311651,0.003025
utp_c,UTP C9H11N2O15P3,-0.140101,C9H11N2O15P3,480.109323,67.263796261623,1.260909
val__L_c,L-Valine,-0.411184,C5H11NO2,117.14634,48.16870066656,2.05592
zn2_c,Zinc,-0.000324,Zn,65.409,0.021192516,0.0
Total,,53.36062800000002,,,999.657756063768,40.858413999999875
